OBJECTID,osm_way_id,name,building,Material,_damage,damage_num,SP_count,SP_mean,SP_median,SP_stdev,SP_min,SP_max,SP_Range,SPG_count,SPG_mean,SPG_median,SPG_stdev,SPG_min,SPG_max,SPG_Range
12496,525404309,,yes,3,none,0,2383,0.221784242,0.21565716,0.121607818,8.43E-06,0.729411781,0.729403353,2383,0.142546887,0.093873538,0.129815204,0.000134962,0.589053929,0.588918966
9249,521632163,,yes,3,none,0,3988,0.188578739,0.168000191,0.122195221,3.65E-05,0.715750396,0.71571386,3988,0.141846561,0.112837687,0.11815398,8.39E-05,0.708461225,0.708377286
12400,525363640,,yes,1,none,0,470,0.24409734,0.22764942,0.122331947,0.00463414,0.720601559,0.715967419,470,0.114862538,0.097421646,0.084318414,0.000319541,0.427349627,0.427030086
4551,521466771,,yes,3,none,0,3950,0.181845981,0.162540436,0.122467309,2.91E-05,0.816212058,0.816182941,3950,0.169142442,0.146774054,0.142270951,0.000333105,0.843126833,0.842793729
9534,521674080,,yes,3,none,0,2151,0.207827776,0.199357256,0.122478286,0.000114708,0.700053632,0.699938925,2151,0.111908945,0.098437451,0.076405111,0.000165572,0.564705908,0.564540336
4549,521466768,,yes,3,none,0,3142,0.214519172,0.19556205,0.12279352,3.65E-05,0.745483041,0.745446504,3142,0.178302856,0.149946913,0.131282494,0.000165572,0.580713391,0.580547819
6085,521537650,,yes,1,none,0,4432,0.163876377,0.142290056,0.123522326,4.90E-05,0.615686297,0.615637274,4432,0.095506934,0.072222635,0.083298288,4.85E-05,0.676431715,0.676383256
6091,521537657,,yes,3,none,0,4013,0.21104396,0.202878237,0.123856711,4.90E-05,0.728812218,0.728763194,4013,0.112889823,0.070201874,0.100805354,0.000187899,0.608854234,0.608666335
9373,521648831,,house,3,none,0,2581,0.195620137,0.172366247,0.123857904,0.000678545,0.72195363,0.721275086,2581,0.154303809,0.129310414,0.116020522,4.57E-05,0.709371388,0.709325647
12547,525405672,,yes,3,none,0,1907,0.160563646,0.148886845,0.123975155,1.55E-05,0.541489005,0.541473482,1907,0.195364157,0.207626477,0.108905829,2.07E-06,0.51012516,0.510123087
16325,525633142,,yes,3,none,0,4449,0.154616269,0.125889078,0.124060646,4.49E-05,0.737432182,0.737387304,4449,0.149444882,0.110885955,0.11663048,0.000337019,0.550819039,0.55048202
12632,525407832,,yes,1,none,0,5169,0.174740018,0.156050235,0.124354698,4.90E-05,0.819064677,0.819015653,5169,0.202329712,0.172538579,0.144950357,0.000248091,0.826820135,0.826572044
12468,525377144,,yes,1,none,0,3015,0.166134571,0.145964652,0.124752576,0.000383854,0.824367404,0.82398355,3015,0.189612843,0.159153432,0.146136578,0.000333133,0.798691392,0.798358259
12569,525406547,,yes,1,none,0,1717,0.172497093,0.143695757,0.126055486,8.43E-06,0.662236869,0.662228441,1717,0.104486154,0.072998211,0.095739979,8.39E-05,0.628269613,0.628185673
9358,521648812,,house,3,none,0,4546,0.147943566,0.124485344,0.126242918,3.23E-05,0.752941191,0.75290889,4546,0.130097871,0.109180972,0.10285946,6.12E-06,0.828598022,0.828591898
12549,525405674,,yes,3,none,0,1106,0.186620794,0.164075613,0.126334962,6.50E-05,0.479609519,0.479544555,1106,0.080471608,0.084028959,0.042944518,0.001303518,0.41601938,0.414715862
1950,366948690,Sol St. Peters Gas Station,yes,1,none,0,3498,0.201369431,0.191290244,0.126699811,0.00013806,0.788235307,0.788097246,3498,0.136010974,0.06788478,0.149647038,2.07E-06,0.796078444,0.79607637
9520,521669852,,yes,1,none,0,2849,0.166132506,0.134176448,0.126805645,0.000216696,0.585484624,0.585267928,2849,0.190332029,0.129756063,0.14788595,0.00044006,0.583868265,0.583428205
4534,521466750,,yes,1,none,0,4769,0.179449868,0.154924929,0.127127958,1.55E-05,0.768494308,0.768478784,4769,0.184751677,0.155588165,0.1462063,9.67E-05,0.846414089,0.846317378
6052,521537448,,yes,1,none,0,1968,0.18221125,0.1646128,0.127398044,0.000163121,0.608155668,0.607992546,1968,0.250244474,0.232509583,0.161875573,0.000101349,0.673851013,0.673749664
